Code,Lat,Lon,City,State
POC,34.1,117.78,LaVerne,CA
NLC,36.33,119.95,LemooreNAS,CA
LVK,37.7,121.82,Livermore,CA
LGB,33.82,118.15,LongBeach,CA
SLI,33.78,118.05,LosAlamitos,CA
LAX,33.93,118.4,LosAngeles,CA
MMH,37.63,118.92,MammothLakes,CA
RIV,33.88,117.27,MarchAFB,CA
MYV,39.1,121.57,Marysville,CA
MHR,38.57,121.3,MatherAFB,CA
MCC,38.67,121.4,Mcclellan,CA
MCE,37.28,120.52,Merced,CA
NKX,32.87,117.15,MiramarNAS,CA
MOD,37.63,120.95,Modesto,CA
NUQ,37.42,122.05,MoffetNAS,CA
MHV,35.05,118.15,Mojave,CA
1O5,41.73,122.53,Montague,CA
MRY,36.58,121.85,Monterey,CA
MHS,41.32,122.32,MountShasta,CA
MWS,34.23,118.07,MountWilson,CA
APC,38.22,122.28,Napa,CA
EED,34.77,114.62,Needles,CA
NZY,32.7,117.2,NorthIsland,CA
SBD,34.1,117.23,NortonAFB,CA
OAK,37.73,122.22,Oakland,CA
ONT,34.05,117.62,OntarioIntl,CA
OXR,34.2,119.2,Oxnard,CA
PMD,35.05,118.13,Palmdale,CA
PSP,33.83,116.5,PalmSprings,CA
PAO,37.47,122.12,PaloAlto,CA
PRB,35.67,120.63,PasoRobles,CA
53Q,37.83,122.83,PillaroPt,CA
NTD,34.12,119.12,PointMugu,CA
PAA,39.58,124.22,PtArena,CA
PGU,34.95,121.12,PtArguello,CA
87Q,35.67,121.28,PtPiedras,CA
PPD,36.12,121.47,PtPiedras,CA
RBL,40.15,122.25,RedBluff,CA
RDD,40.5,122.3,Redding,CA
RAL,33.95,117.45,Riverside,CA
SAC,38.52,121.5,Sacramento,CA
SMF,38.7,121.6,Sacramento,CA
SNS,36.67,121.6,Salinas,CA
SQL,37.52,122.25,SanCarlos,CA
L10,33.42,117.62,SanClemente,CA
NUC,33.02,118.58,SanClemente,CA
SDB,34.75,118.73,Sandburg,CA
MYF,32.82,117.13,SanDiego,CA
SAN,32.73,117.17,SanDiego,CA
SDM,32.57,116.98,SanDiego,CA
SDM,32.57,116.98,SanDiego,CA
SEE,32.82,116.97,SanDiego,CA
51Q,37.75,122.68,SanFrancisco,CA
SFO,37.62,122.38,SanFrancisco,CA
SJC,37.37,121.92,SanJose,CA
RHV,37.33,121.82,SanJose/Rei,CA
SBP,35.23,120.65,SanLuisObispo,CA
L98,33.38,117.58,SanMateo,CA
N5G,34.03,120.4,SanMiguel,CA
NSI,33.25,119.45,SanNicIsl,CA
SNA,33.67,117.88,SantaAna,CA
SBA,34.43,119.83,SantaBarb,CA
SMX,34.9,120.45,SantaMaria,CA
SMO,34.02,118.45,SantaMonica,CA
STS,38.52,122.82,SantaRosa,CA
O87,40.03,124.07,ShelterCove,CA
SIY,41.78,122.47,Siskiyou,CA
SCK,37.9,121.25,Stockton,CA
4SU,35.33,117.1,SuperiorVal,CA
SVE,40.63,120.95,Susanville,CA
TRM,33.63,116.17,Thermal,CA
TOA,33.8,118.33,Torrance,CA
SUU,38.27,121.93,TravisAFB,CA
TRK,39.32,120.13,Truckee-Tahoe,CA
NTK,33.7,117.83,TustinMcas,CA
NXP,34.28,116.15,Twenty9Palm,CA
UKI,39.13,123.2,Ukiah,CA
VBG,35.2,120.95,Vandenberg,CA
VNY,34.22,118.48,VanNuys,CA
VIS,36.32,119.4,Visalia,CA
AFF,39.52,105.35,AirForceA,CO
AKO,40.17,103.22,Akron,CO
ALS,37.45,105.87,Alamosa,CO
ASE,39.22,106.87,Aspen,CO
BJC,39.9,105.12,Brmfield/Jef,CO
BKF,39.72,104.75,Buckley,CO
COS,38.82,104.72,ColoradoSprings,CO
CEZ,37.3,108.63,Cortez,CO
CAG,40.5,107.53,Craig-Moffat,CO
DEN,39.75,104.87,Denver,CO
DRO,37.15,107.75,Durango,CO
EGE,39.65,106.92,Eagle,CO
APA,39.57,104.83,Englewood,CO
FCS,38.68,104.77,FortCarson,CO
FSR,39.57,105.5,Fraser,CO
FNL,40.45,105.02,FtCol/Lovel,CO
FCL,40.58,105.08,FtCollins,CO
GJT,39.12,108.53,GrandJct,CO
GXY,40.43,104.63,Greeley-Wld,CO
2V9,38.55,106.93,Gunnison,CO
GUC,38.55,106.92,Gunnison,CO
LHX,38.05,103.52,LaJunta,CO
4LJ,38.12,102.6,Lamar,CO
LXV,39.25,106.3,Leadville,CO
LIC,39.18,103.7,Limon,CO
6V8,38.5,107.88,Montrose,CO
MTJ,38.5,107.88,Montrose,CO
PUB,38.28,104.52,Pueblo,CO
1V1,39.53,107.8,Rifle,CO
S29,38.53,106.05,Salida,CO
SBS,40.48,106.82,SteamboatSp,CO
TAD,37.25,104.33,Trinidad,CO
C96,40,105.87,WinterPark,CO
GON,41.33,72.05,Groton,CT
BDR,41.17,73.13,Bridgeport,CT
DXR,41.37,73.48,Danbury,CT
HFD,41.73,72.65,Hartford,CT
30N,41.22,72.67,NewHaven,CT
HVN,41.27,72.88,NewHaven,CT
N11,41.27,72.9,NewHaven,CT
18N,41.3,72.08,NewLondon,CT
BDL,41.93,72.68,WindsorLoc,CT
IAD,38.95,77.46,Washington/Dulles,DC
DCA,38.85,77.04,Washington/Natl,DC
DOV,39.13,75.47,Dover,DE
ILG,39.67,75.6,Wilmington,DE
DAB,29.18,81.05,DaytonaBeach,FL
FLL,26.07,80.15,FtLauderdale,FL
AQQ,29.73,85.03,Apalachicola,FL
90J,29.12,81.57,AstorNAS,FL
AGR,28.08,81.55,AvonParkG,FL
XMR,28.47,80.55,CapeCanaveral,FL
NZC,30.22,81.88,Cecil,FL
CEW,30.78,86.52,Crestview,FL
CTY,29.62,83.1,CrossCity,FL
EGI,30.65,86.52,DukeFld,FL
VPS,30.48,86.53,EglinAFB,FL
X91,27.6,82.77,EgmontKey,FL
FXE,26.13,80.13,FortLauderd,FL
FMY,26.58,81.87,FortMyers,FL
RSW,26.65,81.87,FtMyers,FL
GNV,29.68,82.27,Gainesville,FL
HST,25.48,80.38,Homestead,FL
HRT,30.43,86.68,HurlburtFld,FL
CRG,30.33,81.52,Jacksonville,FL
JAX,30.5,81.7,Jacksonville,FL
NIP,30.23,81.68,Jacksonville,FL
EYW,24.55,81.75,KeyWest,FL
NQX,24.57,81.68,KeyWestNAS,FL
LAL,28.03,81.95,Lakeland,FL
MCF,27.85,82.52,MacdillAFB,FL
MAI,30.84,85.18,Marianna,FL
NRB,30.4,81.42,MayportNAS,FL
MLB,28.1,80.63,Melbourne,FL
OPF,25.92,80.28,Miami/Opa,FL
TMB,25.65,80.43,Miami/Tamiami,FL
MIA,25.82,80.28,MiamiIntl,FL
APF,26.13,81.8,Naples,FL
X68,28.62,80.68,NasaShuttle,FL
MCO,28.43,81.32,Orlando,FL
ORL,28.55,81.33,Orlando,FL
PFN,30.2,85.68,PanamaCity,FL
COF,28.23,80.6,PatrickAFB,FL
NPA,30.35,87.32,Pensacola,FL
PNS,30.47,87.2,Pensacola,FL
TBW,27.97,82.6,Ruskin,FL
PIE,27.92,82.68,SaintPeters,FL
SFB,28.78,81.25,Sanford,FL
SRQ,27.4,82.55,Sarasota,FL
TLH,30.38,84.37,Tallahassee,FL
TPA,27.97,82.53,TampaIntl,FL
TIX,28.52,80.8,Titusville,FL
PAM,30.07,85.58,TyndallAFB,FL
VRB,27.65,80.42,VeroBeach,FL
NSE,30.72,87.02,WhitingFld,FL
PBI,26.68,80.12,WPalmBeach,FL
LSF,32.33,85,FortBenning,GA
SVN,32.02,81.15,HunterAaf,GA
ABY,31.53,84.18,Albany,GA
AMG,31.53,82.52,Alma,GA
AHN,33.95,83.32,Athens,GA
ATL,33.65,84.42,Atlanta,GA
ATL,33.65,84.42,Atlanta,GA
PDK,33.88,84.3,Atlanta/Dklb,GA
FTY,33.78,84.52,Atlanta/Fltn,GA
AGS,33.37,81.97,Augusta/Bush,GA
SSI,31.15,81.38,Brunswick,GA
CSG,32.52,84.93,Columbus,GA
MGE,33.92,84.52,DobbinsAFB,GA
MGF,34.53,84.87,DobbinsAFB,GA
LHW,31.88,81.57,FtStewart,GA
LGC,33.01,85.07,LaGrange,GA
MCN,32.7,83.65,Macon/Lewis,GA
VAD,30.97,83.2,MoodyAFB,GA
WRB,32.63,83.6,RobinsAFB,GA
RMG,34.35,85.17,Rome/Russell,GA
SAV,32.13,81.2,SavannahMun,GA
VLD,30.78,83.28,Valdosta,GA
AYS,31.25,82.4,Waycross,GA
HNA,21.53,158.12,BarbersPt,HI
HNA,21.53,158.12,BarbersPt,HI
BKH,22.05,160.3,BarkingSan,HI
1Z6,24.45,166.47,FrFrigate,HI
ITO,19.72,155.07,Hilo,HI
HNL,21.35,157.93,HonoluluInt,HI
OGG,20.9,156.43,KahuluiMaui,HI
HNG,21.75,158.28,KaneoheMca,HI
HNG,21.75,158.28,KaneoheMca,HI
KOA,19.75,156.05,Ke-Ahole/Kon,HI
0Z5,22.38,159.67,KilaueaPt,HI
LNY,20.8,156.95,Lanai-Lanai,HI
LIH,21.98,159.35,Lihue-Kauai,HI
JHM,20.97,156.83,Maui,HI
MKK,21.15,157.1,Molokai,HI
1Z2,20.42,156.47,UpoloPt,HI
MUE,20,156.12,Waimea-Koha,HI
3SE,43.17,95.15,Spencer,IA
BRL,40.78,91.12,Burlington,IA
CID,41.88,91.7,CedarRapids,IA
DSM,41.53,93.65,DesMoines,IA
DBQ,42.4,90.7,Dubuque,IA
EST,43.4,94.75,Estherville,IA
FOD,42.55,94.18,FortDodge,IA
3OI,40.62,93.93,Lamoni,IA
MCW,43.15,93.33,MasonCity,IA
OTM,41.1,92.45,Ottumwa,IA
SUX,42.4,96.38,SiouxCity,IA
ALO,42.55,92.4,WaterlooMun,IA
BOI,43.57,116.22,Boise,ID
BYI,42.53,113.77,Burley,ID
U15,44.52,114.22,Challis,ID
COE,47.77,116.82,CoeurD'Alene,ID
P69,45.82,115.43,ElkCity,ID
GNG,43,115.17,Gooding,ID
S80,45.92,116.13,Grangeville,ID
IDA,43.52,112.07,IdahoFalls,ID
LWS,46.38,117.02,Lewiston,ID
MLD,42.17,112.32,MaladCity,ID
77M,42.3,113.37,Malta,ID
MYL,44.88,116.1,Mccall,ID
MUO,43.05,115.87,MountnHome,ID
S06,47.47,115.8,Mullan,ID
PIH,42.92,112.6,Pocatello,ID
27U,45.18,113.9,Salmon,ID
SMN,45.17,114.47,Salmon,ID
U78,42.65,111.58,SodaSprings,ID
SUN,43.5,114.3,SunValley,ID
TWF,42.48,114.48,TwinFalls,ID
ALN,38.88,90.05,Alton,IL
CPS,38.57,90.15,BistatePark,IL
MWA,37.75,89,Marion,IL
ARR,41.77,88.32,Aurora,IL
BMI,40.48,88.93,Bloomington,IL
BDF,41.16,89.6,Bradford,IL
CTR,37.07,89.22,Cairo,IL
MDH,37.78,89.25,Carbondale,IL
ENL,38.51,89.09,Centralia,IL
CMI,40.03,88.28,Champaign/Urbana,IL
CHI,41.9,87.65,Chicago,IL
CGX,41.87,87.62,Chicago/Meigs,IL
MDW,41.78,87.75,Chicago/Midway,IL
ORD,41.98,87.9,Chicago/O'hare,IL
DNV,40.2,87.6,Danville,IL
DEC,39.83,88.87,Decatur,IL
DKB,41.93,88.72,DeKalb,IL
DPA,41.92,88.25,DuPage,IL
GBG,40.93,90.43,Galesburg,IL
NBU,42.08,87.82,GlenviewNAS,IL
IKK,41.07,87.85,Kankakee,IL
MQB,40.52,90.66,Macomb,IL
MMO,41.37,88.68,Marseilles,IL
MTO,39.48,88.28,Mattoon,IL
MLI,41.45,90.52,Moline/Quad,IL
MVN,38.32,88.86,MountVernon,IL
PIA,40.67,89.68,Peoria,IL
UIN,39.93,91.2,Quincy,IL
RFD,42.2,89.1,Rockford,IL
SLO,38.63,88.96,Salem,IL
BLV,38.55,89.85,ScottAFB,IL
SPI,39.85,89.67,Springfield,IL
SQI,41.74,89.67,Sterling,IL
TAZ,39.53,89.33,Taylorville,IL
VLA,38.99,89.17,Vandalia,IL
EKM,41.72,86,Elkhart,IN
GUS,40.65,86.15,GrissomAFB,IN
BAK,39.38,86.5,BakalarAf,IN
BMG,39.13,86.62,Bloomington,IN
EVV,38.05,87.53,Evansville,IN
FWA,41,85.2,FortWayne,IN
GYY,41.62,87.42,Gary,IN
IND,39.73,86.27,Indianapolis,IN
MIE,40.23,85.38,Muncie,IN
SBN,41.7,86.32,SouthBend,IN
HUF,39.45,87.3,TerreHaute,IN
LAF,40.42,86.93,WLafayette,IN
CNU,37.67,95.48,Chanute,KS
3KM,37.75,97.22,Col.JJabar,KS
CNK,39.55,97.65,Concordia,KS
DDC,37.77,99.97,DodgeCity,KS
1K5,37,101.88,Elkhart,KS
EMP,38.33,96.2,Emporia,KS
FLV,39.37,94.92,FtLeavnwrth,KS
FRI,39.05,96.77,FtRiley,KS
GCK,37.93,100.72,GardenCity,KS
GLD,39.37,101.7,Goodland,KS
HYS,38.85,99.27,Hays,KS
HLC,39.38,99.83,HillCity,KS
HUT,38.07,97.87,Hutchinson,KS
IXD,38.82,94.88,JohnsonCnty,KS
LBL,37.05,100.97,Liberal,KS
MHK,39.15,96.67,Manhatten,KS
IAB,37.62,97.27,McconnellAf,KS
P28,37.3,98.58,MedicineLdg,KS
OJC,38.85,94.9,Olathe,KS
RSL,38.87,98.82,Russell,KS
SLN,38.8,97.65,Salina,KS
TOP,39.07,95.62,Topeka,KS
FOE,38.95,95.67,Topeka/Forbe,KS
ICT,37.65,97.43,Wichita,KS
LEX,38.05,85,Lexington,KY
BWG,36.97,86.43,BowlingGreen,KY
HOP,36.67,87.5,FtCampbell,KY
FTK,37.9,85.97,FtKnox,KY
JKL,37.6,83.32,Jackson,KY
LOZ,37.08,84.07,London,KY
LOU,38.23,85.67,Louisville,KY
SDF,38.18,85.73,Louisville,KY
OWB,37.75,87.17,Owensboro,KY
PAH,37.07,88.77,Paducah,KY
5I3,37.48,82.52,Pikeville,KY
BTR,30.53,91.15,BatonRouge,LA
LFT,30.2,92,Lafayette,LA
1G7,28.78,89.05,MissippiCan,LA
MLU,32.52,92.05,Monroe,LA
ESF,31.38,92.3,Alexandria,LA
BAD,32.5,93.67,Barksdale,LA
BVE,29.55,89.67,Boothville,LA
7R5,29.78,93.3,CameronHeli,LA
01R,31.22,92.95,Claiborne,LA
AEX,31.33,92.55,EnglandAFB,LA
41I,28.47,91.78,EugeneIsland,LA
POE,31.05,93.2,FortPolk,LA
AXO,29.18,90.07,GrandIsle,LA
5R0,28.22,93.75,HighIs,LA
01T,28.13,94.4,HighIsland,LA
HUM,29.57,90.65,Houma,LA
7R4,29.73,92.12,Intercoastal,LA
LCH,30.12,93.22,LakeCharles,LA
7R3,29.7,91.1,LkPalourde,LA
PTN,29.7,91.2,MorganCity,LA
ARA,30.03,91.88,NewIberia,LA
MSY,29.98,90.25,NewOrleans,LA
NBG,29.83,90.02,NewOrleans,LA
NEW,30.03,90.03,NewOrleans,LA
DTN,32.52,93.75,Shreveport,LA
SHV,32.47,93.82,Shreveport,LA
SIL,30.35,89.82,Slidel,LA
7R8,28.3,91.98,SMarshIsl,LA
BED,42.47,71.28,Bedford,MA
BVY,42.58,70.92,Beverly,MA
BOS,42.37,71.03,Boston,MA
30B,41.78,70.5,CapeCodCan,MA
CHH,41.67,69.97,Chatham,MA
AYE,42.57,71.6,FortDevens,MA
HYA,41.67,70.28,Hyannis,MA
LWM,42.72,71.12,Lawrence,MA
MVY,41.4,70.62,MarthasVine,MA
ACK,41.25,70.07,Nantucket,MA
EWB,41.68,70.97,NewBedford,MA
OWD,42.18,71.18,Norwood,MA
FMH,41.65,70.52,OtisANGB,MA
PSF,42.26,73.18,Pittsfield,MA
NZW,42.15,70.93,SWeymouth,MA
BAF,42.17,72.72,Westfield,MA
CEF,42.2,72.53,Westover,MA
ORH,42.27,71.87,Worcester,MA
ADW,38.82,76.87,AndrewsAFB,MD
BAL,39.18,76.67,Baltimore,MD
BWI,39.18,76.67,Baltimore,MD
MTN,39.33,76.42,Baltimore,MD
FME,39.08,76.77,FortMeade,MD
HGR,39.7,77.72,Hagerstown,MD
N80,38.55,75.13,OceanCity,MD
NHK,38.28,76.4,Patuxent,MD
APG,39.47,76.17,Phillips,MD
SBY,38.33,75.5,Salisbury,MD
PQI,46.68,68.05,PresqueIsle,ME
AUG,44.32,69.8,Augusta,ME
BGR,44.8,68.82,Bangor,ME
BHB,44.45,68.37,BarHarbor,ME
NHZ,43.88,69.93,Brunswick,ME
CAR,46.87,68.02,CaribouMun,ME
3B1,45.45,69.55,Greenville,ME
6B2,45.78,69.63,Greenville,ME
HUL,46.13,67.78,Houlton,ME
LIZ,46.95,67.88,LoringAFB,ME
PWM,43.65,70.32,Portland,ME
RKD,44.07,69.12,Rockland,ME
RUM,44.88,70.88,Rumford,ME
APN,45.07,83.57,Alpena,MI
ARB,42.22,83.75,AnnArbor,MI
BTL,42.3,85.23,BattleCreek,MI
BEH,42.13,86.43,BentonHarbor,MI
CIU,46.25,84.47,Chippewa,MI
C10,43.07,85.95,Coopersville,MI
P59,47.47,87.85,CopperHarb,MI
DET,42.42,83.02,Detroit,MI
DTW,42.23,83.33,Detroit,MI
ESC,45.73,87.08,Escanaba,MI
FNT,42.97,83.75,Flint/Bishop,MI
GRR,42.88,85.52,GrandRapids,MI
CMX,47.17,88.5,Hancock,MI
P58,43.83,82.53,HarborBeach,MI
HTL,44.37,84.68,HoughtonLake,MI
IMT,45.82,88.12,IronMtn,MI
IWD,46.53,90.13,Ironwood,MI
JXN,42.27,84.47,Jackson,MI
AZO,42.23,85.55,Kalamazoo,MI
LAN,42.77,84.6,Lansing,MI
MBL,44.27,86.25,Manistee,MI
MQT,46.88,87.95,Marquette,MI
MNM,45.12,87.63,Menominee,MI
MKG,43.17,86.25,Muskegon,MI
PLN,45.57,84.8,Pellston,MI
PTK,42.67,83.42,Pontiac,MI
MBS,43.53,84.08,Saginaw,MI
SSM,46.47,84.37,SaultSteM,MI
SAW,46.35,87.4,SawyerAFB,MI
MTC,42.62,82.83,Selfridge,MI
P75,45.92,85.92,SeulChoix,MI
TVC,44.73,85.58,TraverseCty,MI
OSC,44.45,83.4,Wurtsmith,MI
YIP,42.23,83.53,Ypsilanti,MI
STP,44.93,93.05,SaintPaul,MN
AEL,43.68,93.37,AlbertLea,MN
AXN,45.87,95.38,Alexandria,MN
BJI,47.5,94.93,BemidjiMuni,MN
BRD,46.4,94.13,Brainerd-Crw,MN
DTL,46.82,95.88,DetroitLaks,MN
DLH,46.83,92.18,Duluth,MN
ELO,47.9,91.82,Ely,MN
FRM,43.65,94.42,Fairmont,MN
FFM,46.3,96.07,FergusFalls,MN
GPZ,47.22,93.52,GrandRapids,MN
HIB,47.38,92.85,Hibbing,MN
INL,48.57,93.38,IntlFalls,MN
Y69,45.13,94.52,Litchfield,MN
MKT,44.22,93.92,Mankato,MN
MML,44.45,95.82,MarshallArpt,MN
FCM,44.83,93.47,Minneapolis,MN
MIC,45.07,93.38,Minneapolis,MN
MSP,44.88,93.22,Minneapolis,MN
PKD,46.9,95.07,ParkRapids,MN
P39,46.6,94.32,PequotLake,MN
RWF,44.55,95.08,RedwoodFalls,MN
RST,43.92,92.5,Rochester,MN
STC,45.55,94.07,StCloud,MN
TVF,48.07,96.18,ThiefRiver,MN
P61,47.58,90.83,Tofte,MN
D45,48.93,95.35,Warroad,MN
OTG,43.65,95.58,Worthington,MN
